ADSTRD_CD,ADSTRD_NM,XCNTS_VALUE,YDNTS_VALUE,RELM_AR,ANNUAL_TOT_LVPOP_CO,DONG_LON,DONG_LAT
11140520,소공동,197736.0,451636.0,943795.0,6725.1148,126.97437453532754,37.564255512847375
11110515,청운효자동,197342.0,453874.0,2568432.0,14493.5808,126.96990686761751,37.584418720515885
11110530,사직동,197383.0,452705.0,1158536.0,11668.1476,126.9703752314623,37.57388621927961
11110540,삼청동,198340.0,454312.0,1479255.0,4069.357,126.98120495146988,37.58836740902573
11110550,부암동,196781.0,455266.0,2274739.0,11425.6137,126.96354926751047,37.5969587400261
11110560,평창동,197186.0,457344.0,8947328.0,19853.9893,126.96812734517589,37.61568263364914
11110570,무악동,196342.0,453063.0,369520.0,6315.0253,126.95858919704753,37.577108233656
11110580,교남동,196830.0,452392.0,346926.0,7238.3109,126.96411655616335,37.57106436845543
11110600,가회동,198812.0,453662.0,539955.0,3482.0246,126.98655013932952,37.582511684291084
11110615,종로1·2·3·4가동,199104.0,452849.0,2417171.0,25243.7927,126.98985699099725,37.57518693303824
11110630,종로5·6가동,200389.0,452590.0,603167.0,8696.6438,127.00440346808996,37.572853710116696
11110640,이화동,200267.0,453352.0,782395.0,19113.9604,127.00302270933423,37.57971933130445
11110650,혜화동,199773.0,454212.0,1132421.0,28841.627999999997,126.99742986464302,37.58746788473727
11110670,창신1동,201219.0,452536.0,305337.0,8483.854,127.01379895274418,37.5723664484761
11110680,창신2동,200900.0,452942.0,257323.0,7788.0191,127.01018840445342,37.57602485406751
11110690,창신3동,201168.0,453267.0,216835.0,4295.9115,127.01322280262201,37.5789527845504
11110700,숭인1동,201492.0,453071.0,239396.0,7397.267,127.01689037280627,37.57718636818084
11110710,숭인2동,201797.0,452772.0,351906.0,10879.0091,127.02034243045807,37.57449185020222
11140540,회현동,197977.0,450824.0,897827.0,7760.0734,126.97710457297553,37.556939979505266
11140550,명동,198613.0,451602.0,969729.0,10377.6346,126.98430107112212,37.56395091134355
11140570,필동,199450.0,450816.0,1464686.0,8578.0174,126.99377534693005,37.556869955485794
11140580,장충동,200191.0,450671.0,1017925.0,7064.2484,127.00216161451516,37.555563653364366
11140590,광희동,200333.0,451736.0,737204.0,15583.483,127.00376916205461,37.56515922990174
11140605,을지로동,199696.0,451898.0,611524.0,7147.9594,126.99655901615027,37.566618853519614
11140615,신당동,201211.0,451795.0,534942.0,25100.9627,127.01370717005359,37.56569008206271
11140625,다산동,200739.0,450602.0,523971.0,13439.1935,127.00836345470714,37.55494168855172
11140635,약수동,200909.0,450070.0,486369.0,14702.1965,127.0102867299519,37.55014822684117
11140645,청구동,201342.0,450817.0,342571.0,11327.0878,127.01518815511605,37.556878152670386
11140650,신당5동,201932.0,451567.0,319706.0,5819.5162,127.0218674854035,37.56363458123806
11140665,동화동,201648.0,451242.0,327045.0,12950.7412,127.01865228045584,37.560706894007495
11140670,황학동,201842.0,452111.0,328640.0,13406.3296,127.02085017986909,37.568536183530874
11140680,중림동,196999.0,450869.0,484384.0,7058.4202,126.96603581524248,37.557342763110235
11170510,후암동,198287.0,450043.0,865892.0,14589.805,126.98061483959789,37.54990381408421
11170520,용산2가동,198681.0,448712.0,1966853.0,10724.7275,126.98507593025205,37.537912160148856
11170530,남영동,197775.0,449391.0,1177788.0,8117.003000000001,126.97482276913377,37.544028208171056
11170555,청파동,197070.0,449786.0,886225.0,22174.2259,126.9668436893749,37.54758518372214
11170560,원효로1동,197044.0,448666.0,589017.0,19420.906000000003,126.96655397782294,37.537493906721416
11170570,원효로2동,195798.0,448262.0,708975.0,16013.6905,126.95245827364532,37.53384903090399
11170580,효창동,196548.0,449256.0,446197.0,9851.3892,126.96093915346631,37.542808082601326
11170590,용문동,196333.0,448720.0,277531.0,9101.4764,126.95850901385698,37.537977894354526
11170625,한강로동,197224.0,447737.0,2869816.0,34026.0149,126.96859411957044,37.529124167649734
11170630,이촌1동,197503.0,446189.0,2872767.0,25226.171000000002,126.97175580411621,37.51517744414727
11170640,이촌2동,195952.0,447042.0,1205543.0,7035.3265,126.95420736020796,37.52285750115803
11170650,이태원1동,199403.0,448207.0,582899.0,9159.164,126.99324554325973,37.53336285660899
11170660,이태원2동,199298.0,449139.0,874243.0,11444.5428,126.9920566827956,37.54176010616265
11170685,한남동,200457.0,448669.0,3031897.0,19518.635,127.00517078444393,37.5375255598216
11170690,서빙고동,199020.0,446683.0,2821948.0,12377.3278,126.98891431424948,37.51963125792497
11170700,보광동,200080.0,447488.0,715096.0,7470.201999999999,127.0009050415568,37.526884845377964
11200520,왕십리2동,202450.0,451325.0,372425.0,17542.4946,127.02772969813617,37.56145293830574
11200535,왕십리도선동,202615.0,451924.0,710285.0,31586.16,127.02959934343136,37.56684945211883
11200540,마장동,203587.0,451987.0,1035276.0,19412.9513,127.0406017762261,37.56741380833115
